,g_id,mass,redshift,h_mass,central,galaxy_id,disk_sersic_index,sphere_sersic_index,disk_axis_ratio,disk_half_light_radius,sphere_half_light_radius,disk_mass_stellar,sphere_mass_stellar,sphere_axis_ratio,host_halo_mass,position_angles
50586447,6000148193.0,22614464512.0,0.3457149043053418,233205735096320.0,True,6000148193.0,1.0,4.0,0.6213700771331787,4.5200601540302055e-15,2.6155310156486846e-15,13042002944.0,9572461568.0,0.9476248025894165,233205735096320.0,4.355663578025678e-08
50587023,6000150461.0,56321310720.0,0.34322857244626914,10034416189440.0,True,6000150461.0,1.0,4.0,0.9572465419769287,1.4375896548391576e-14,7.70767483497373e-15,6598273024.0,49723039744.0,0.9967409372329712,10034416189440.0,6.16942518797634e-09
50587490,6000183080.0,1151030656.0,0.3719422244997943,11558678691840.0,True,6000183080.0,1.0,4.0,0.851645827293396,2.6450396207956484e-15,1.3509638722774823e-15,277566080.0,873464640.0,0.9755797982215881,11558678691840.0,1.2815235953386771e-07
50588047,6000185760.0,59705434112.0,0.3741015855755734,88698037207040.0,True,6000185760.0,1.0,4.0,0.7617051601409912,3.5381107457297394e-15,2.5832741861447988e-15,4182313216.0,55523123200.0,0.926371157169342,88698037207040.0,2.461151691516507e-07
50588632,6000188260.0,2997981440.0,0.3607386613746024,15826613698560.0,True,6000188260.0,1.0,4.0,0.9127905368804932,2.2969996800435693e-15,1.209381510644273e-15,10260537.0,2987720704.0,0.9910596013069153,15826613698560.0,1.8174961252301195e-07
50589248,6000190800.0,4058590720.0,0.3809772713990942,2906799472640.0,True,6000190800.0,1.0,4.0,0.5712292790412903,2.6225020302949542e-15,1.4698312899624698e-15,3368757760.0,689833024.0,0.8561815619468689,2906799472640.0,1.5049119064390062e-07
50589800,6000192732.0,13302532096.0,0.37625265485103476,6599121829888.0,True,6000192732.0,1.0,4.0,0.818202555179596,3.00366465263143e-15,1.739013988454484e-15,5984023552.0,7318508544.0,0.986210286617279,6599121829888.0,2.403299795522128e-07
50590444,6000242470.0,14192481280.0,0.4199835039329691,31488642908160.0,True,6000242470.0,1.0,4.0,0.7359129786491394,3.961743052674761e-15,2.256592656497099e-15,8055635456.0,6136845824.0,0.9670530557632446,31488642908160.0,9.823908906870997e-08
50591089,6000245898.0,21944629248.0,0.43123851021269544,6007724965888.0,True,6000245898.0,1.0,4.0,0.4013994634151459,6.436689414503279e-15,3.840719074409655e-15,3934295808.0,18010335232.0,0.7251821160316467,6007724965888.0,2.289241077631038e-07
50591690,6000248536.0,68051384.0,0.43374433095245934,52988919939072.0,True,6000248536.0,1.0,4.0,0.3329979479312897,2.4319465344575913e-15,1.0657547101976469e-15,50503588.0,17547796.0,0.8667840361595154,52988919939072.0,2.165716202554239e-07
50592309,6000251414.0,1680645888.0,0.406565911936696,49463414489088.0,True,6000251414.0,1.0,4.0,0.6502149105072021,4.1063351251510105e-15,1.8199613112001385e-15,1408008448.0,272637504.0,0.9282209873199463,49463414489088.0,1.479027504482691e-07
50592905,6000299062.0,4541698048.0,0.4408302045550063,4599461183488.0,True,6000299062.0,1.0,4.0,0.27697324752807617,8.428999778941095e-15,3.4471931542564944e-15,1910341248.0,2631356928.0,0.6071746349334717,4599461183488.0,2.267076441012736e-07
50593494,6000301582.0,99607461888.0,0.44674801671440867,31738067681280.0,True,6000301582.0,1.0,4.0,0.9921593070030212,8.548473107435842e-15,6.097180530731548e-15,1280045696.0,98327420928.0,0.9917172193527222,31738067681280.0,6.246221800648923e-08
50594081,6000303638.0,47402917888.0,0.46716405817940787,9788686598144.0,True,6000303638.0,1.0,4.0,0.9137343764305115,1.3095506991911088e-14,6.8761063882812104e-15,0.03916468471288681,47402917888.0,0.9579114317893982,9788686598144.0,4.072025447465936e-08
