,h_id,projection_id,rs,rho,c,m200,q,angle,position_angle,phi,theta,bin_width,cat_id
245000,20,10421,311.29568055492166,2121388.756049893,3.360650282516385,250566201112332.25,0.7824452055957509,0.7455362844893308,0.0169366207397947,6.266248686439792,0.7259943445048436,1.029540375694296,245000
250000,32,16269,291.6796363293566,450103.11249561014,3.8832675002712946,316926501823645.75,0.7712158897635141,0.8884361965676206,2.5320596810705895,3.751125626108997,0.656969216556859,1.3276358073615597,250000
255000,3,1578,256.01002062520985,1056983.840159383,3.447350702023578,159832869052280.8,0.8749472701510141,0.61860059011572,0.49859553138510054,5.784589775794486,0.903835961870607,0.9273717351997561,255000
260000,13,6742,262.5140201018181,1033002.7701717956,3.4109250221746894,166921684061947.22,0.8512330852888459,0.46256235557298897,2.0501849792664792,4.233000327913107,1.0899131647819595,0.9238149413703809,260000
265000,24,12008,217.29942553126756,1358488.2421635995,3.8678160366522194,138041528696429.69,0.7277775231083137,0.5531699031800436,2.296125900785282,0.8454667528045109,0.9846317814768956,0.9583741823658443,265000
270000,28,14389,671.6722598394085,333153.4695352514,1.8253472857417883,646578758510878.6,0.666982444829438,0.08282491872339745,2.7048302526065617,0.43676240098323105,1.5491700450061188,1.050916837648856,270000
275000,27,13754,388.1145440337912,1876572.763021636,3.566212709543805,649757152657424.0,0.8139499698366114,0.92710346347507,0.41771634638747795,5.86546896079211,0.32923213467075146,1.0531704699884585,275000
280000,9,4927,842.8431250850401,179921.62373632946,1.4264959136444824,404177875473312.3,0.7588075074376323,0.14884549562783025,2.2094965909136586,0.9320960626761348,1.4213956667783916,1.0530400633113004,280000
285000,20,10176,563.622090449701,376435.27781019855,2.0972063569872326,383989216222209.44,0.7198621388968515,0.114114103428166,0.7120539585868292,2.429538695002964,1.4564330945280115,1.0561593064945782,285000
290000,30,15431,599.5953148573598,475734.62319119106,2.3562827841327714,655664497598099.2,0.9003067590052375,0.8372602120009297,0.798218329486558,5.484966977693029,0.578543037793872,1.0176188497088106,290000
